N,P,K,temperature,humidity,ph,rainfall,label
37.99,60.02,21.91,23.55,54.68,6.62,138.92,kidneybeans
39.83,78.42,25.8,24.69,54.39,6.86,122.89,kidneybeans
16.12,72.51,39.51,24.64,69.2,6.64,159.69,kidneybeans
34.03,83.57,16.69,22.69,62.33,6.4,192.82,kidneybeans
24.29,56.27,27.97,18.62,61.14,6.48,192.91,kidneybeans
24.81,62.96,19.48,21.34,58.32,6.83,134.19,kidneybeans
33.86,73.05,39.27,26.29,58.58,6.37,152.77,kidneybeans
37.96,63.9,17.83,23.26,60.82,6.45,121.16,kidneybeans
38.77,76.43,25.09,22.84,63.93,5.73,199.56,kidneybeans
29.43,77.77,33.45,20.42,64.04,6.21,198.11,kidneybeans
23.93,58.08,32.61,21.32,53.43,6.57,164.95,kidneybeans
34.69,70.42,25.57,26.06,60.0,5.91,180.44,kidneybeans
21.28,70.27,23.66,24.0,58.24,5.8,171.51,kidneybeans
29.1,66.08,24.94,25.09,67.41,5.97,159.32,kidneybeans
23.96,82.99,21.61,22.09,62.63,5.86,105.33,kidneybeans
31.42,79.83,20.13,23.67,60.65,5.82,145.48,kidneybeans
21.01,75.92,27.08,20.24,52.31,6.14,167.48,kidneybeans
19.79,76.43,21.71,24.35,62.11,6.86,167.75,kidneybeans
37.96,68.85,22.19,21.85,52.34,6.26,137.31,kidneybeans
17.55,82.63,31.42,21.98,56.74,5.78,194.17,kidneybeans
27.65,75.84,39.21,23.84,52.86,5.62,116.74,kidneybeans
20.52,76.87,30.09,26.43,63.84,6.54,150.04,kidneybeans
15.97,80.85,16.92,18.58,54.13,6.07,169.09,kidneybeans
15.9,63.22,16.89,25.42,57.84,6.73,169.71,kidneybeans
19.38,79.21,38.79,20.63,67.91,6.49,164.86,kidneybeans
36.67,60.86,22.43,22.0,54.09,6.69,127.53,kidneybeans
22.06,65.36,17.3,18.2,60.16,5.91,115.62,kidneybeans
38.76,65.07,29.98,20.71,58.39,6.54,163.59,kidneybeans
29.54,84.36,30.59,22.52,50.36,5.9,159.93,kidneybeans
25.92,80.7,31.21,18.51,65.86,6.91,117.94,kidneybeans
29.5,76.04,21.69,22.42,51.38,6.45,170.51,kidneybeans
27.92,76.81,15.38,26.34,59.49,5.99,145.52,kidneybeans
33.97,71.86,39.13,18.95,61.21,5.9,166.78,kidneybeans
22.06,83.41,21.27,24.88,62.57,5.79,183.74,kidneybeans
23.83,69.89,31.9,21.69,63.77,6.54,116.97,kidneybeans
37.35,66.42,32.67,23.9,55.07,5.83,101.91,kidneybeans
38.66,59.89,30.25,20.34,50.2,6.39,177.91,kidneybeans
37.31,78.59,22.82,19.44,64.47,5.9,160.97,kidneybeans
25.49,77.03,21.78,19.44,60.71,6.49,169.96,kidneybeans
34.51,66.53,29.94,18.63,66.72,6.72,183.82,kidneybeans
26.91,55.76,36.65,19.67,66.43,6.67,180.28,kidneybeans
27.44,80.17,38.67,23.98,66.87,6.64,196.09,kidneybeans
20.12,55.34,17.65,25.94,59.7,5.78,153.59,kidneybeans
29.78,76.11,18.87,25.33,56.67,5.63,148.85,kidneybeans
19.65,84.11,38.62,24.17,65.83,6.55,140.19,kidneybeans
23.29,68.13,33.41,18.99,59.03,6.05,115.37,kidneybeans
36.38,62.05,37.07,20.6,53.67,6.15,157.26,kidneybeans
20.18,76.15,20.07,20.79,67.1,5.55,127.7,kidneybeans
16.78,79.51,29.69,20.25,67.65,5.89,192.13,kidneybeans
16.73,71.39,32.53,22.64,59.33,5.55,158.32,kidneybeans
38.52,84.01,32.0,22.82,51.51,6.82,159.28,kidneybeans
27.67,56.55,25.2,21.21,57.76,5.87,135.49,kidneybeans
25.24,70.14,15.38,21.18,66.07,6.34,105.2,kidneybeans
35.27,76.55,29.57,25.46,68.04,5.56,103.17,kidneybeans
35.9,80.88,21.33,25.1,54.07,6.5,142.33,kidneybeans
23.3,60.38,26.26,20.77,51.34,5.98,108.46,kidneybeans
32.34,79.0,38.94,26.22,67.55,6.85,160.68,kidneybeans
34.28,71.58,24.98,26.58,57.79,6.83,188.1,kidneybeans
31.37,66.9,36.0,20.94,60.84,5.99,188.29,kidneybeans
18.79,58.95,19.71,21.19,69.36,6.85,165.9,kidneybeans
36.9,80.96,31.81,22.55,51.33,6.99,121.12,kidneybeans
28.48,59.72,39.43,26.47,62.97,6.74,186.3,kidneybeans
22.06,64.29,17.55,25.89,51.48,6.77,188.61,kidneybeans
25.63,63.7,15.21,18.92,57.51,5.87,119.67,kidneybeans
15.94,81.14,25.84,21.53,66.08,6.37,173.74,kidneybeans
22.16,59.24,30.29,27.96,48.63,6.36,123.14,pigeonpeas
35.07,72.13,31.96,34.38,47.58,6.71,102.64,pigeonpeas
39.93,60.56,22.94,33.19,58.3,6.64,114.81,pigeonpeas
15.75,63.36,36.2,34.84,45.02,5.73,77.46,pigeonpeas
37.43,61.56,38.68,27.6,56.88,5.72,89.59,pigeonpeas
30.57,60.49,37.12,34.7,49.68,5.9,126.38,pigeonpeas
39.33,79.77,33.48,29.31,50.28,6.04,156.53,pigeonpeas
26.63,63.57,21.94,28.48,46.17,6.11,65.04,pigeonpeas
36.18,82.81,22.04,25.5,51.46,6.52,149.04,pigeonpeas
16.56,84.1,39.08,25.53,46.5,5.59,117.69,pigeonpeas
23.38,72.14,15.26,31.92,40.79,5.55,116.39,pigeonpeas
16.68,59.29,32.9,29.58,45.44,6.09,110.03,pigeonpeas
39.38,66.24,32.66,27.27,40.13,6.55,66.94,pigeonpeas
35.42,78.93,30.57,31.14,59.57,5.79,68.99,pigeonpeas
36.31,66.02,39.75,27.53,59.31,6.46,120.09,pigeonpeas
38.45,57.61,22.8,30.78,47.9,5.89,94.1,pigeonpeas
17.13,71.7,23.5,28.59,54.57,6.83,151.73,pigeonpeas
24.64,80.35,16.97,33.24,46.92,6.84,100.66,pigeonpeas
16.78,78.88,26.07,33.21,53.42,5.95,74.33,pigeonpeas
20.27,60.25,21.53,29.77,56.11,5.84,131.47,pigeonpeas
20.73,75.18,23.58,28.51,58.94,6.12,89.34,pigeonpeas
26.73,61.62,35.86,28.63,48.0,5.86,112.55,pigeonpeas
21.71,61.55,38.39,33.06,55.67,6.51,129.78,pigeonpeas
17.52,81.22,19.64,28.28,45.32,6.74,150.03,pigeonpeas
19.19,62.49,24.31,27.09,59.81,6.51,139.22,pigeonpeas
18.68,62.9,38.22,25.85,40.52,6.74,127.64,pigeonpeas
39.33,55.02,16.55,29.67,52.07,6.1,127.96,pigeonpeas
33.98,81.12,17.31,29.82,53.19,5.73,154.59,pigeonpeas
39.19,78.78,19.07,33.41,53.76,6.61,89.58,pigeonpeas
25.99,73.82,29.88,27.21,42.41,6.04,60.11,pigeonpeas
21.96,77.51,18.76,28.81,58.77,6.51,87.2,pigeonpeas
34.96,59.56,39.2,33.08,43.62,5.91,81.79,pigeonpeas
23.16,68.75,26.17,33.24,52.46,5.62,126.18,pigeonpeas
22.48,65.54,27.54,28.85,44.45,6.99,123.37,pigeonpeas
20.81,57.81,21.17,29.59,46.14,5.73,119.35,pigeonpeas
18.24,69.58,26.77,28.03,50.93,6.98,61.62,pigeonpeas
21.41,82.62,31.55,34.33,48.34,6.97,132.88,pigeonpeas
23.88,56.2,33.78,26.19,43.2,6.69,92.35,pigeonpeas
31.85,63.74,33.85,34.34,43.42,6.49,126.51,pigeonpeas
16.56,61.23,29.45,31.84,48.36,6.37,115.66,pigeonpeas
20.26,62.14,37.61,30.32,55.15,6.8,94.27,pigeonpeas
35.23,82.25,35.44,25.33,57.96,5.93,73.46,pigeonpeas
18.67,69.04,33.93,29.76,41.68,6.2,69.44,pigeonpeas
23.57,68.99,16.39,29.08,47.86,6.43,143.15,pigeonpeas
36.62,77.82,15.17,26.61,42.0,6.12,151.84,pigeonpeas
18.87,59.63,20.31,31.56,40.33,6.14,124.98,pigeonpeas
17.07,69.62,31.59,34.71,53.23,6.0,70.34,pigeonpeas
27.11,67.9,25.28,30.62,52.05,6.35,100.2,pigeonpeas
22.56,72.91,25.06,32.15,43.26,6.78,132.89,pigeonpeas
29.09,84.99,37.11,25.68,44.68,5.8,137.98,pigeonpeas
35.1,78.08,37.39,29.18,40.47,6.9,71.82,pigeonpeas
18.43,66.94,37.73,26.16,56.7,6.53,60.0,pigeonpeas
29.52,79.83,22.85,31.13,59.49,6.73,131.21,pigeonpeas
27.64,60.12,32.28,34.38,42.71,6.33,95.66,pigeonpeas
18.6,55.91,21.79,31.62,44.63,6.67,85.45,pigeonpeas
30.6,61.13,19.77,25.77,57.37,5.52,61.29,pigeonpeas
21.84,65.21,19.62,28.55,58.53,6.73,114.03,pigeonpeas
27.2,70.32,23.55,30.51,48.39,5.56,145.12,pigeonpeas
17.06,73.45,25.75,29.03,41.01,6.83,155.76,pigeonpeas
26.49,82.32,35.77,33.34,40.79,6.99,116.57,pigeonpeas
22.66,70.3,18.0,33.15,51.48,5.94,111.45,pigeonpeas
35.56,70.04,33.37,31.12,47.86,5.82,68.51,pigeonpeas
16.42,56.51,28.29,28.73,40.57,6.65,114.89,pigeonpeas
25.47,56.05,22.2,27.55,51.67,5.88,98.0,pigeonpeas
26.46,71.53,27.32,26.06,40.23,6.8,120.71,pigeonpeas
33.13,68.15,22.5,28.55,55.75,5.65,98.87,pigeonpeas
29.36,80.18,29.9,29.13,46.13,5.69,84.03,pigeonpeas
31.68,59.82,25.85,31.76,40.81,6.97,69.5,pigeonpeas
34.43,55.75,19.11,31.58,51.77,6.51,91.49,pigeonpeas
36.56,68.47,17.91,25.7,47.95,6.77,69.66,pigeonpeas
22.85,62.12,28.67,28.95,59.48,5.99,77.69,pigeonpeas
28.45,56.49,37.56,26.82,50.88,6.51,158.73,pigeonpeas
36.0,76.74,23.6,26.57,45.5,6.39,104.41,pigeonpeas
39.74,58.35,33.33,33.27,54.19,6.4,113.19,pigeonpeas
37.24,73.25,31.47,25.42,45.43,6.52,147.36,pigeonpeas
24.29,63.43,38.29,29.19,58.08,6.36,159.56,pigeonpeas
19.88,60.2,35.52,26.68,47.49,6.14,118.27,pigeonpeas
27.23,66.39,29.17,33.79,51.0,5.91,141.25,pigeonpeas
33.54,79.04,31.43,30.57,41.01,6.65,92.69,pigeonpeas
27.31,66.76,37.46,27.31,48.52,5.84,90.57,pigeonpeas
27.08,77.52,24.99,30.02,56.65,6.54,100.27,pigeonpeas
35.96,58.76,23.17,32.31,56.11,5.85,127.25,pigeonpeas
24.04,78.18,15.27,34.58,44.49,6.44,128.22,pigeonpeas
36.49,62.11,35.66,27.2,44.52,6.62,91.52,pigeonpeas
25.17,75.32,35.02,33.86,56.35,5.83,73.32,pigeonpeas
23.21,71.97,17.61,34.34,58.61,5.59,123.24,pigeonpeas
26.35,82.87,29.42,34.16,41.91,5.7,72.83,pigeonpeas
34.06,66.62,26.6,31.35,49.0,6.41,117.85,pigeonpeas
18.15,56.98,17.97,31.3,46.75,6.77,129.34,pigeonpeas
19.91,55.57,39.51,29.03,57.41,5.57,130.06,pigeonpeas
38.79,79.81,20.37,32.52,41.67,6.6,135.35,pigeonpeas
19.39,70.74,16.68,30.31,44.22,6.01,147.29,pigeonpeas
29.19,78.26,29.87,31.77,55.05,6.22,110.0,pigeonpeas
29.48,62.03,33.47,29.28,41.03,6.89,133.02,pigeonpeas
27.24,65.35,15.81,32.31,49.85,6.0,121.92,pigeonpeas
31.12,55.9,31.47,33.24,48.84,6.2,78.66,pigeonpeas
20.75,83.84,28.31,26.46,46.69,5.52,62.57,pigeonpeas
28.82,75.04,17.58,33.33,47.89,5.62,88.45,pigeonpeas
24.3,83.0,19.31,30.4,50.6,5.89,104.3,pigeonpeas
31.54,62.96,29.2,33.45,43.23,5.54,121.71,pigeonpeas
32.0,37.42,17.47,33.99,42.98,6.5,36.19,mothbeans
18.92,63.19,25.37,33.14,51.75,6.15,33.53,mothbeans
17.51,57.65,19.92,30.88,53.64,7.33,75.47,mothbeans
34.27,52.6,22.16,28.06,45.55,7.19,39.51,mothbeans
17.16,59.85,34.79,32.96,51.27,6.83,71.06,mothbeans
24.57,37.41,28.69,30.86,53.45,6.84,57.23,mothbeans
26.71,49.31,33.98,35.35,52.69,7.57,33.89,mothbeans
25.83,53.9,17.85,28.24,42.74,6.39,77.77,mothbeans
16.72,59.86,22.64,33.85,54.34,7.64,42.35,mothbeans
16.14,58.5,26.09,37.41,45.65,7.3,72.98,mothbeans
17.11,43.31,16.54,29.74,45.09,6.84,38.44,mothbeans
26.71,63.23,15.08,32.72,40.94,6.92,72.7,mothbeans
25.89,38.73,28.41,28.91,47.29,6.51,30.66,mothbeans
19.67,61.25,27.84,34.26,41.64,7.5,55.59,mothbeans
27.76,64.13,23.22,33.51,43.73,7.03,68.47,mothbeans
31.4,40.31,24.79,32.07,44.75,6.64,76.74,mothbeans
15.83,56.66,23.31,33.21,52.13,7.19,75.46,mothbeans
24.96,36.21,15.48,36.97,53.13,7.99,70.98,mothbeans
28.79,47.16,21.71,29.96,44.54,6.87,74.41,mothbeans
20.05,50.49,18.54,28.23,52.88,7.84,39.96,mothbeans
21.16,52.42,16.97,36.62,52.86,6.69,44.21,mothbeans
27.27,63.08,34.13,33.77,51.47,6.11,44.45,mothbeans
32.96,55.17,26.99,36.91,42.2,6.41,48.85,mothbeans
31.2,49.44,29.57,33.97,50.35,6.84,49.67,mothbeans
26.66,59.29,21.31,36.1,54.18,6.44,57.23,mothbeans
29.6,63.52,22.86,32.3,50.24,6.0,37.99,mothbeans
22.3,35.66,19.74,35.5,44.97,7.83,64.56,mothbeans
27.82,64.48,16.94,37.13,47.51,7.69,38.38,mothbeans
24.32,37.58,18.58,33.72,49.69,7.48,45.52,mothbeans
18.8,59.43,30.95,29.81,47.66,6.34,55.17,mothbeans
29.03,43.41,28.55,30.69,41.8,6.24,69.82,mothbeans
26.13,38.97,25.94,29.99,44.68,6.14,66.97,mothbeans
22.17,48.2,24.5,30.47,52.04,7.45,62.28,mothbeans
33.23,54.32,33.45,31.06,52.92,7.86,37.79,mothbeans
15.42,46.43,16.45,33.55,42.06,6.86,57.35,mothbeans
21.32,36.64,20.61,33.88,54.29,6.24,34.37,mothbeans
16.14,52.98,22.0,32.26,44.93,7.02,48.87,mothbeans
30.33,62.07,30.65,34.15,49.93,6.7,50.68,mothbeans
29.04,46.5,34.85,28.82,51.28,6.75,31.99,mothbeans
21.63,41.49,19.81,28.88,52.18,7.24,43.7,mothbeans
28.51,48.28,32.49,29.72,54.19,7.44,77.78,mothbeans
22.92,36.45,31.61,33.18,44.69,6.22,77.68,mothbeans
30.13,59.61,19.49,30.14,52.88,6.07,47.62,mothbeans
24.08,59.79,22.99,30.83,41.98,7.99,32.16,mothbeans
23.25,52.64,23.19,32.0,50.58,6.47,38.95,mothbeans
33.69,45.59,34.56,36.12,51.13,6.11,49.61,mothbeans
20.02,58.99,18.62,28.14,50.17,6.38,77.39,mothbeans
17.41,51.64,30.98,34.49,43.78,6.08,37.06,mothbeans
26.69,59.78,21.68,34.69,53.1,6.78,68.18,mothbeans
34.39,53.94,29.62,35.99,42.53,7.6,35.43,mothbeans
22.56,58.53,23.4,37.33,40.8,6.68,79.06,mothbeans
16.24,52.96,26.57,28.2,50.76,6.89,49.08,mothbeans
21.79,47.42,31.65,29.54,47.13,7.35,68.76,mothbeans
25.12,63.74,31.08,36.86,52.74,7.02,47.13,mothbeans
18.24,51.23,32.33,32.59,45.75,7.72,61.38,mothbeans
28.16,53.15,16.19,33.65,42.52,7.73,39.6,mothbeans
34.95,41.61,28.84,34.63,52.55,6.02,37.3,mothbeans
24.03,53.77,17.8,34.79,48.23,7.56,76.9,mothbeans
22.09,52.15,23.32,37.32,42.84,6.92,75.88,mothbeans
23.01,40.55,25.97,37.97,50.81,7.98,74.37,mothbeans
17.3,36.79,23.05,35.2,47.67,6.97,61.27,mothbeans
32.67,53.13,25.39,30.87,49.06,7.97,70.41,mothbeans
23.3,57.91,34.93,36.8,46.91,7.51,33.45,mothbeans
22.75,50.7,17.7,28.49,52.43,6.5,46.74,mothbeans
28.19,41.8,28.51,30.31,52.44,7.08,45.69,mothbeans
23.84,55.0,22.92,36.97,50.64,7.98,61.78,mothbeans
27.96,37.4,17.66,30.56,41.58,7.72,47.8,mothbeans
16.23,48.26,18.17,30.21,52.58,6.19,37.43,mothbeans
31.27,39.9,33.99,29.38,50.07,7.41,59.82,mothbeans
33.81,40.53,32.59,36.59,50.46,6.69,70.72,mothbeans
27.98,41.07,33.14,33.0,45.44,6.01,49.11,mothbeans
34.09,46.6,34.83,34.75,53.19,6.81,36.61,mothbeans
18.03,36.53,19.17,30.39,50.88,6.47,39.83,mothbeans
24.55,46.93,22.11,35.58,41.69,7.64,41.87,mothbeans
27.04,50.35,28.38,35.6,46.12,6.67,44.99,mothbeans
26.63,49.5,24.68,31.13,53.3,7.66,62.14,mothbeans
23.03,46.48,23.37,32.11,40.71,6.0,60.05,mothbeans
21.76,60.17,22.16,30.1,54.42,6.62,64.8,mothbeans
17.54,39.36,26.88,37.77,50.19,6.48,48.13,mothbeans
22.83,50.17,26.51,34.46,49.47,6.47,71.2,mothbeans
18.25,36.86,18.23,37.35,44.06,6.14,40.2,mothbeans
29.69,37.13,24.43,31.03,43.73,6.37,53.45,mothbeans
19.18,52.22,26.07,35.82,54.13,7.11,70.05,mothbeans
16.17,51.98,26.41,35.66,44.47,6.58,39.01,mothbeans
26.05,61.34,19.2,34.92,51.63,6.83,35.49,mothbeans
26.9,51.74,29.85,37.66,45.9,6.75,74.18,mothbeans
32.44,63.79,15.5,31.94,42.09,7.75,47.15,mothbeans
26.54,36.46,22.1,29.31,40.16,7.81,64.19,mothbeans
21.91,37.94,30.6,34.72,48.16,6.99,31.27,mothbeans
31.06,36.32,26.28,35.29,54.64,6.66,64.5,mothbeans
25.81,40.56,20.22,33.75,45.54,6.21,45.81,mothbeans
16.59,51.24,28.9,30.07,45.36,7.91,32.79,mothbeans
26.32,54.37,26.35,33.04,45.16,6.12,60.49,mothbeans
33.16,36.37,30.92,31.12,47.81,6.6,42.04,mothbeans
22.93,63.38,29.7,32.27,46.61,6.6,49.34,mothbeans
20.93,60.26,27.2,34.45,53.2,6.64,34.03,mothbeans
17.87,43.9,24.76,35.45,47.58,6.33,37.36,mothbeans
18.03,37.32,17.66,30.32,47.62,7.57,44.9,mothbeans
23.66,40.1,20.23,32.05,42.08,6.24,34.49,mothbeans
26.91,38.81,23.38,30.69,54.74,7.27,75.54,mothbeans
15.12,46.81,23.98,28.04,76.75,6.37,86.31,mungbean
24.68,49.2,26.55,34.83,65.16,7.45,53.58,mungbean
17.46,60.64,26.42,31.43,76.43,7.44,66.3,mungbean
21.15,45.2,21.65,32.18,78.4,6.37,84.44,mungbean
33.52,61.09,21.31,34.77,71.49,6.52,71.72,mungbean
18.23,37.64,17.13,28.77,73.03,7.34,62.72,mungbean
34.32,58.3,22.34,33.02,72.15,7.45,85.29,mungbean
19.12,60.43,16.99,29.35,70.84,6.67,72.6,mungbean
29.83,40.45,30.33,33.7,78.31,6.48,68.07,mungbean
25.93,47.91,34.33,26.81,78.41,6.79,82.48,mungbean
32.69,39.96,34.4,34.48,70.04,7.03,59.33,mungbean
26.08,56.2,32.3,27.19,74.23,6.41,114.94,mungbean
25.69,51.06,27.02,28.26,78.9,7.1,110.74,mungbean
18.91,54.06,29.02,32.56,79.43,6.08,99.53,mungbean
18.32,40.89,20.7,28.94,72.63,6.07,57.43,mungbean
33.33,41.35,27.62,31.08,71.79,6.58,104.31,mungbean
21.56,36.24,24.11,29.45,69.18,6.53,106.56,mungbean
22.44,44.66,24.64,32.42,79.38,6.47,103.74,mungbean
30.2,51.79,30.16,27.28,67.14,6.74,57.98,mungbean
21.78,60.74,20.64,25.58,73.7,6.48,95.07,mungbean
34.04,55.01,21.36,28.0,69.24,6.29,108.4,mungbean
29.76,48.06,33.49,29.74,69.19,6.46,90.41,mungbean
26.95,63.59,16.12,26.68,71.07,7.46,95.25,mungbean
32.62,56.58,24.71,28.55,79.98,6.62,82.09,mungbean
15.99,62.9,33.26,29.0,65.82,6.67,87.01,mungbean
20.14,50.83,27.21,25.57,73.68,6.86,52.41,mungbean
24.3,42.77,25.93,30.83,66.24,7.48,94.73,mungbean
19.54,36.58,19.99,33.84,67.32,6.36,55.7,mungbean
29.88,56.78,21.87,26.52,71.59,7.02,80.45,mungbean
33.38,38.64,32.04,30.98,72.66,7.07,70.49,mungbean
23.48,44.08,26.18,31.65,68.88,6.91,88.18,mungbean
21.84,50.97,25.29,29.19,69.75,6.13,59.34,mungbean
34.23,51.93,16.99,32.01,66.3,7.02,98.42,mungbean
23.9,53.02,15.32,29.11,69.55,6.1,105.65,mungbean
24.78,39.99,34.27,30.05,79.5,6.89,61.43,mungbean
22.03,46.39,22.54,25.07,79.17,7.11,57.3,mungbean
33.19,53.52,27.06,31.92,70.02,6.32,60.19,mungbean
26.38,64.09,16.59,31.61,73.56,7.26,111.4,mungbean
30.24,56.83,28.66,25.38,78.64,6.05,86.97,mungbean
31.24,62.68,33.65,28.68,65.09,7.27,82.71,mungbean
21.84,57.87,26.51,34.79,77.16,6.69,57.47,mungbean
23.67,52.75,17.52,29.21,79.23,6.33,95.47,mungbean
31.97,40.76,26.63,30.02,66.37,6.2,110.76,mungbean
22.27,55.0,30.33,34.1,67.42,7.43,107.97,mungbean
30.88,53.7,23.13,32.17,79.41,6.11,93.82,mungbean
33.82,53.07,32.6,30.82,73.06,6.3,55.27,mungbean
27.46,49.69,27.97,32.98,65.21,6.52,57.87,mungbean
29.83,50.86,32.98,33.64,68.86,6.93,53.45,mungbean
31.1,45.03,27.47,29.57,71.75,6.82,68.02,mungbean
31.9,50.58,17.63,29.75,75.39,6.19,59.5,mungbean
22.9,40.93,21.19,28.86,76.0,6.43,68.2,mungbean
16.03,59.16,19.04,34.67,79.93,6.36,76.95,mungbean
23.04,40.57,33.18,31.97,69.31,6.32,116.01,mungbean
28.48,37.55,30.21,25.83,73.07,6.62,92.73,mungbean
24.01,48.09,28.53,33.63,73.0,7.06,108.45,mungbean
29.98,54.75,21.02,29.81,71.08,6.33,99.72,mungbean
22.14,48.13,18.68,25.69,67.54,6.55,57.88,mungbean
27.69,43.3,30.13,30.5,79.66,6.59,101.51,mungbean
18.73,51.75,24.48,29.17,77.8,7.46,69.26,mungbean
29.99,45.41,19.52,33.78,72.47,7.43,94.74,mungbean
25.91,62.99,27.33,27.04,74.05,7.2,73.87,mungbean
19.08,62.68,15.81,33.26,68.41,6.36,119.84,mungbean
20.84,50.07,21.52,30.58,73.16,6.1,68.45,mungbean
29.97,44.84,24.37,25.55,75.42,6.48,69.54,mungbean
24.65,57.11,17.96,34.72,72.73,6.4,115.15,mungbean
19.32,36.1,34.69,30.13,79.85,6.76,51.73,mungbean
34.35,49.24,19.18,27.91,74.17,7.17,98.77,mungbean
29.3,45.09,17.61,29.69,70.56,7.29,100.77,mungbean
34.14,62.62,19.07,33.58,76.58,7.27,108.55,mungbean
23.54,35.36,30.38,28.05,67.56,6.54,118.21,mungbean
24.5,51.58,23.51,26.93,70.77,7.03,118.29,mungbean
32.96,57.22,26.31,26.29,70.2,6.47,54.57,mungbean
25.5,49.55,15.42,27.98,71.48,6.09,107.53,mungbean
29.15,37.56,15.69,32.8,76.73,7.05,95.24,mungbean
20.04,64.17,23.92,29.72,72.26,6.01,95.31,mungbean
23.93,50.54,31.33,27.27,76.91,6.61,58.98,mungbean
17.47,53.43,32.7,26.66,73.65,6.49,95.51,mungbean
19.12,42.1,16.73,28.33,70.13,7.04,118.77,mungbean
15.02,49.5,25.77,34.4,77.15,7.15,113.83,mungbean
15.79,47.87,33.26,28.43,68.57,6.46,80.74,mungbean
34.55,37.25,22.76,34.88,68.37,7.22,52.8,mungbean
19.85,38.18,31.59,29.85,72.57,6.44,75.36,mungbean
28.27,60.12,17.67,26.79,68.91,6.67,107.85,mungbean
31.78,42.19,33.71,33.91,65.14,7.09,99.1,mungbean
26.01,40.85,30.03,29.6,74.72,7.04,82.15,mungbean
18.06,50.15,33.83,32.1,72.67,7.48,53.86,mungbean
29.56,58.06,28.53,34.84,71.68,6.34,79.88,mungbean
27.01,36.86,22.27,25.5,79.5,6.99,82.83,mungbean
29.63,52.3,33.76,25.97,73.57,6.91,115.0,mungbean
30.39,38.58,20.51,32.2,77.95,7.37,94.88,mungbean
34.51,36.09,21.64,27.82,67.09,6.23,71.82,mungbean
26.47,36.58,29.02,26.84,73.54,7.13,86.77,mungbean
21.83,60.02,30.31,25.39,78.02,6.85,54.62,mungbean
27.97,38.54,33.59,25.22,73.75,6.41,118.08,mungbean
16.37,36.35,19.1,32.74,75.77,6.71,75.2,mungbean
32.95,48.14,30.96,26.34,70.58,6.5,83.45,mungbean
17.39,60.32,29.77,29.68,66.39,6.87,74.87,mungbean
21.56,42.87,16.28,31.06,71.87,7.33,97.78,mungbean
31.31,47.65,22.74,29.28,70.92,6.85,96.36,mungbean
26.95,36.2,20.66,25.27,78.01,6.95,100.07,mungbean
20.36,63.84,20.99,31.32,72.97,6.53,123.3,blackgram
21.31,65.64,17.0,30.43,63.45,7.08,96.23,blackgram
17.51,71.94,20.43,26.29,77.45,6.48,142.8,blackgram
28.11,62.57,31.32,28.76,72.26,7.36,118.52,blackgram
15.8,82.46,22.57,25.99,63.14,6.19,68.14,blackgram
26.95,62.97,16.77,31.23,79.25,6.27,145.31,blackgram
32.39,81.87,21.84,29.47,70.37,6.74,83.27,blackgram
32.82,58.1,34.63,32.78,61.46,6.12,90.35,blackgram
23.98,74.7,27.59,27.2,72.54,6.29,96.2,blackgram
24.19,82.21,23.32,26.65,65.06,7.42,64.61,blackgram
16.54,60.06,18.33,29.06,76.07,7.46,104.69,blackgram
28.42,84.05,34.72,34.27,76.36,6.56,71.1,blackgram
31.43,68.59,31.42,32.1,79.58,7.38,96.09,blackgram
19.89,83.37,20.63,29.19,70.04,6.82,91.56,blackgram
23.43,75.3,16.4,30.17,69.1,6.4,129.56,blackgram
31.78,64.05,16.13,25.84,75.07,7.05,132.29,blackgram
32.54,60.65,17.41,34.85,62.65,6.99,73.81,blackgram
19.86,64.11,26.62,31.66,70.94,7.48,92.99,blackgram
26.01,57.79,33.58,27.85,70.92,6.4,93.6,blackgram
18.85,59.32,24.93,30.86,61.79,7.01,73.63,blackgram
17.04,58.14,31.86,26.09,68.36,6.08,131.86,blackgram
33.22,67.69,23.92,34.66,77.07,6.17,123.65,blackgram
31.41,78.87,29.17,26.75,77.12,6.01,77.13,blackgram
30.2,59.24,29.64,31.48,61.98,7.5,93.0,blackgram
15.98,58.91,18.48,27.45,61.81,7.2,69.52,blackgram
31.87,74.3,22.22,32.18,65.25,7.18,116.54,blackgram
23.76,60.92,27.75,32.77,77.5,6.76,70.92,blackgram
21.85,57.93,16.41,31.73,62.58,6.45,148.73,blackgram
25.93,60.01,22.23,31.14,74.4,6.23,130.26,blackgram
16.83,82.71,25.7,33.92,62.02,6.43,95.12,blackgram
30.13,79.64,34.92,25.79,72.46,6.56,112.07,blackgram
26.65,65.62,24.49,28.31,67.12,7.13,142.02,blackgram
18.73,74.67,31.32,27.48,75.78,6.81,109.87,blackgram
18.76,71.12,23.64,34.88,64.67,6.12,75.7,blackgram
18.68,75.31,30.93,28.89,72.78,6.03,94.08,blackgram
16.14,75.48,26.91,32.33,64.71,6.15,135.88,blackgram
26.76,73.86,32.73,31.85,74.27,6.62,117.98,blackgram
31.81,62.98,23.22,27.12,77.47,7.4,118.57,blackgram
15.35,56.17,27.09,27.39,62.54,6.96,138.01,blackgram
15.98,68.67,27.6,27.81,77.33,7.2,140.46,blackgram
26.46,81.73,23.35,29.11,71.87,6.7,142.78,blackgram
31.39,72.08,17.89,27.34,62.54,6.54,68.54,blackgram
